datetime,energy_kWh,DayOfWeek,IsWeekend,Month,IsHoliday
18-03-2025,80.59333333,1,0,3,0
19-03-2025,105.3966667,2,0,3,0
20-03-2025,109.8,3,0,3,0
21-03-2025,107.3766667,4,0,3,0
22-03-2025,112.2833333,5,1,3,0
23-03-2025,25.38366667,6,1,3,0
24-03-2025,93.02333333,0,0,3,0
25-03-2025,25.35066667,1,0,3,0
26-03-2025,88.50566667,2,0,3,0
27-03-2025,95.59666667,3,0,3,0
28-03-2025,71.83897691,4,0,3,0
29-03-2025,93.95120415,5,1,3,0
30-03-2025,49.07584629,6,1,3,0
31-03-2025,30.72793149,0,0,3,0
01-04-2025,30.728,1,0,4,0
02-04-2025,30.728,2,0,4,0
03-04-2025,92.52952083,3,0,4,0
04-04-2025,100.1266667,4,0,4,0
05-04-2025,104.0926667,5,1,4,0
06-04-2025,33.96433333,6,1,4,0
07-04-2025,83.72966667,0,0,4,0
08-04-2025,117.64,1,0,4,0
09-04-2025,104.8266667,2,0,4,0
10-04-2025,107.2566667,3,0,4,0
11-04-2025,108.0066667,4,0,4,0
12-04-2025,102.6256667,5,1,4,0
13-04-2025,8.187333333,6,1,4,0
14-04-2025,56.49666667,0,0,4,0
15-04-2025,43.03533333,1,0,4,0
16-04-2025,52.103,2,0,4,0
17-04-2025,51.233,3,0,4,0
18-04-2025,49.45633333,4,0,4,0
19-04-2025,65.78,5,1,4,0
20-04-2025,19.538,6,1,4,0
21-04-2025,28.60166667,0,0,4,0
22-04-2025,49.62766667,1,0,4,0
23-04-2025,59.34833333,2,0,4,0
24-04-2025,25.31329493,3,0,4,0
25-04-2025,19.43466803,4,0,4,0
26-04-2025,36.61663984,5,1,4,0
27-04-2025,27.5693972,6,1,4,0
28-04-2025,27.57333333,0,0,4,0
29-04-2025,27.57333333,1,0,4,0
30-04-2025,47.75777778,2,0,4,0
01-05-2025,33.10517226,3,0,5,0
02-05-2025,14.8257907,4,0,5,0
03-05-2025,14.82666667,5,1,5,0
04-05-2025,14.82666667,6,1,5,0
05-05-2025,21.49844444,0,0,5,0
06-05-2025,54.20166667,1,0,5,0
07-05-2025,61.97233333,2,0,5,0
08-05-2025,36.34533333,3,0,5,0
09-05-2025,22.89133333,4,0,5,0
10-05-2025,53.337,5,1,5,0
11-05-2025,36.50833333,6,1,5,0
12-05-2025,57.062,0,0,5,0
13-05-2025,54.12366667,1,0,5,0
14-05-2025,59.97,2,0,5,0
15-05-2025,60.8,3,0,5,0
16-05-2025,60.14666667,4,0,5,0
17-05-2025,37.56233333,5,1,5,0
18-05-2025,2.735666667,6,1,5,0
19-05-2025,50.30666667,0,0,5,0
20-05-2025,58.096,1,0,5,0
21-05-2025,54.85933333,2,0,5,0
22-05-2025,62.13,3,0,5,0
23-05-2025,60.38228889,4,0,5,0
24-05-2025,57.26344444,5,1,5,0
25-05-2025,18.16526667,6,1,5,0
26-05-2025,36.73055417,0,0,5,0
27-05-2025,50.80333333,1,0,5,0
28-05-2025,67.73333333,2,0,5,0
29-05-2025,63.374,3,0,5,0
30-05-2025,49.36133333,4,0,5,0
31-05-2025,60.416,5,1,5,0
01-06-2025,3.862333333,6,1,6,0
02-06-2025,27.95633333,0,0,6,0
03-06-2025,17.78376471,1,0,6,0
04-06-2025,57.39470098,2,0,6,0
05-06-2025,62.54897426,3,0,6,0
06-06-2025,50.65216389,4,0,6,0
07-06-2025,57.26344444,5,1,6,0
08-06-2025,18.16526667,6,1,6,0
09-06-2025,42.94638015,0,0,6,0
10-06-2025,45.94517484,1,0,6,0
11-06-2025,57.39470098,2,0,6,0
12-06-2025,62.54897426,3,0,6,0
13-06-2025,50.65216389,4,0,6,0
14-06-2025,57.26344444,5,1,6,0
15-06-2025,18.16526667,6,1,6,0
16-06-2025,42.94638015,0,0,6,0
17-06-2025,45.94517484,1,0,6,0
18-06-2025,57.39470098,2,0,6,0
19-06-2025,62.54897426,3,0,6,0
20-06-2025,50.65216389,4,0,6,0
21-06-2025,57.26344444,5,1,6,0
22-06-2025,18.16526667,6,1,6,0
23-06-2025,42.94638015,0,0,6,0
24-06-2025,45.94517484,1,0,6,0
25-06-2025,57.39470098,2,0,6,0
26-06-2025,62.54897426,3,0,6,0
27-06-2025,50.65216389,4,0,6,0
28-06-2025,57.26344444,5,1,6,0
29-06-2025,18.16526667,6,1,6,0
30-06-2025,42.94638015,0,0,6,0
01-07-2025,45.94517484,1,0,7,0
02-07-2025,57.39470098,2,0,7,0
03-07-2025,62.54897426,3,0,7,0
04-07-2025,50.65216389,4,0,7,0
05-07-2025,57.26344444,5,1,7,0
06-07-2025,18.16526667,6,1,7,0
07-07-2025,42.94638015,0,0,7,0
08-07-2025,45.94517484,1,0,7,0
09-07-2025,57.39470098,2,0,7,0
10-07-2025,62.54897426,3,0,7,0
11-07-2025,50.65216389,4,0,7,0
12-07-2025,57.26344444,5,1,7,0
13-07-2025,18.16526667,6,1,7,0
14-07-2025,42.94638015,0,0,7,0
15-07-2025,45.94517484,1,0,7,0
16-07-2025,57.39470098,2,0,7,0
17-07-2025,62.54897426,3,0,7,0
18-07-2025,50.65216389,4,0,7,0
19-07-2025,57.26344444,5,1,7,0
20-07-2025,18.16526667,6,1,7,0
21-07-2025,42.94638015,0,0,7,0
22-07-2025,39.25379902,1,0,7,0
23-07-2025,58.97666667,2,0,7,0
24-07-2025,59.395,3,0,7,0
25-07-2025,49.725,4,0,7,0
26-07-2025,53.38333333,5,1,7,0
27-07-2025,38.73333333,6,1,7,0
28-07-2025,60.86333333,0,0,7,0
29-07-2025,63.54833333,1,0,7,0
30-07-2025,62.13833333,2,0,7,0
31-07-2025,57.745,3,0,7,0
01-08-2025,59.28333333,4,0,8,0
02-08-2025,55,5,1,8,0
03-08-2025,26.87666667,6,1,8,0
04-08-2025,69.66666667,0,0,8,0
05-08-2025,51.59166667,1,0,8,0
06-08-2025,55.42333333,2,0,8,0
07-08-2025,67.10166667,3,0,8,0
08-08-2025,63.435,4,0,8,0
09-08-2025,6.873333333,5,1,8,0
10-08-2025,8.54,6,1,8,0
11-08-2025,46.66833333,0,0,8,0
12-08-2025,56.4,1,0,8,0
13-08-2025,38.96666667,2,0,8,0
14-08-2025,59.33333333,3,0,8,0
15-08-2025,7.966666667,4,0,8,0
16-08-2025,63.06666667,5,1,8,0
17-08-2025,26.3,6,1,8,0
18-08-2025,29.890375,0,0,8,0
19-08-2025,29.56666667,1,0,8,0
20-08-2025,32.83333333,2,0,8,0
21-08-2025,34.03333333,3,0,8,0
22-08-2025,32.73333333,4,0,8,0
23-08-2025,33.76666667,5,1,8,0
24-08-2025,13.7,6,1,8,0
25-08-2025,27.73333333,0,0,8,0
26-08-2025,41.97911601,1,0,8,0
27-08-2025,57.39470098,2,0,8,0
28-08-2025,62.54897426,3,0,8,0
29-08-2025,50.65216389,4,0,8,0
30-08-2025,57.26344444,5,1,8,0
31-08-2025,18.16526667,6,1,8,0
01-09-2025,32.08572083,0,0,9,0
02-09-2025,26.5,1,0,9,0
03-09-2025,26.66666667,2,0,9,0
04-09-2025,31.606,3,0,9,0
05-09-2025,30.781,4,0,9,0
06-09-2025,2.704,5,1,9,0
07-09-2025,3.113,6,1,9,0
08-09-2025,24.323,0,0,9,0
09-09-2025,31.185,1,0,9,0
10-09-2025,30.949,2,0,9,0
11-09-2025,29.395,3,0,9,0
12-09-2025,34.052,4,0,9,0
13-09-2025,26.459,5,1,9,0
14-09-2025,13.504,6,1,9,0
15-09-2025,34.254,0,0,9,0
16-09-2025,32.578,1,0,9,0
17-09-2025,30.639,2,0,9,0
18-09-2025,23.912,3,0,9,0
19-09-2025,31.745,4,0,9,0
20-09-2025,33.425,5,1,9,0
21-09-2025,13.425,6,1,9,0
22-09-2025,32.684,0,0,9,0
23-09-2025,33.658,1,0,9,0
24-09-2025,27.4,2,0,9,0
25-09-2025,28.469,3,0,9,0
26-09-2025,34.161,4,0,9,0
27-09-2025,23.498,5,1,9,0
28-09-2025,20.525,6,1,9,0
29-09-2025,24.407,0,0,9,0
30-09-2025,30.678,1,0,9,0
01-10-2025,13.273,2,0,10,1
02-10-2025,2.549,3,0,10,1
03-10-2025,36.409,4,0,10,0
04-10-2025,38.045,5,1,10,0
05-10-2025,4.163,6,1,10,0
06-10-2025,36.736,0,0,10,0
07-10-2025,37.253,1,0,10,0
08-10-2025,36.836,2,0,10,0
09-10-2025,26.047,3,0,10,0
10-10-2025,28.305,4,0,10,0
11-10-2025,29.672,5,1,10,0
12-10-2025,12.347,6,1,10,0
